Category,Identifier,Expected,Reason
address_group,lab25-bad-ag-ipv6,FAIL,INVALID IPv6 unsupported by native address-group importer
address_group,lab25-bad-ag-missing,FAIL,INVALID missing nested group
address_group,lab25-bad-ag-self,FAIL,INVALID self cycle
address_group,lab25-bad-ag-cycle-a,FAIL,INVALID cycle A
address_group,lab25-bad-ag-cycle-b,FAIL,INVALID cycle B
service_group,lab25-bad-sg-protocol,FAIL,INVALID unsupported protocol
service_group,lab25-bad-sg-port,FAIL,INVALID port out of range
service_group,lab25-bad-sg-missing,FAIL,INVALID missing nested group
service_group,lab25-bad-sg-self,FAIL,INVALID self cycle
service_group,lab25-bad-sg-icmpv6,FAIL,EXPECTED RUNTIME FAILURE on tested 9.7.1 importer
application_definition,lab25-bad-ip-09,FAIL,INVALID protocol number
application_definition,lab25-bad-ip-10,FAIL,INVALID nonnumeric protocol
application_definition,lab25-bad-tcp-09,FAIL,INVALID TCP port zero
application_definition,lab25-bad-tcp-10,FAIL,INVALID dedicated TCP range
application_definition,lab25-bad-udp-09,FAIL,INVALID UDP port
application_definition,lab25-bad-udp-10,FAIL,INVALID nonnumeric UDP port
application_definition,lab25-bad-domain-09,FAIL,INVALID URL not domain
application_definition,lab25-bad-domain-10,FAIL,INVALID double dot
application_definition,lab25-bad-cmp-09,FAIL,INVALID only one attribute
application_definition,lab25-bad-cmp-10,FAIL,INVALID directional/either conflict
firewall_rule,lab25-fw-101,FAIL,INVALID missing application
firewall_rule,lab25-fw-102,FAIL,INVALID missing application group
firewall_rule,lab25-fw-103,FAIL,INVALID missing address group
firewall_rule,lab25-fw-104,FAIL,INVALID missing service group
firewall_rule,lab25-fw-105,FAIL,INVALID action
firewall_rule,lab25-fw-106,FAIL,INVALID CIDR
firewall_rule,lab25-fw-107,FAIL,INVALID port without protocol
firewall_rule,lab25-fw-108,FAIL,INVALID directional and either address
firewall_rule,lab25-fw-109,FAIL,INVALID logging level
firewall_rule,lab25-fw-110,FAIL,INVALID duplicate priority first row
firewall_rule,lab25-fw-111,FAIL,INVALID duplicate priority second row
firewall_rule,lab25-fw-112,FAIL,INVALID expected collision with existing lab priority
